mode,trial,n_pairs,structural_only_admitted,category_gate_admitted,strict_mddc_gate_admitted
any_deranged,0,1500,1206,554,117
cross_category,0,1500,1205,506,81
same_category_different_cve,0,1500,1231,959,182
any_deranged,1,1500,1247,538,99
cross_category,1,1500,1209,496,88
same_category_different_cve,1,1500,1236,971,192
any_deranged,2,1500,1224,541,94
cross_category,2,1500,1186,501,83
same_category_different_cve,2,1500,1236,980,243
any_deranged,3,1500,1254,573,108
cross_category,3,1500,1155,497,90
same_category_different_cve,3,1500,1249,1002,231
any_deranged,4,1500,1199,560,98
cross_category,4,1500,1207,517,74
same_category_different_cve,4,1500,1224,976,198
any_deranged,5,1500,1223,560,103
cross_category,5,1500,1198,522,104
same_category_different_cve,5,1500,1243,991,194
any_deranged,6,1500,1203,494,85
cross_category,6,1500,1194,489,89
same_category_different_cve,6,1500,1230,979,200
any_deranged,7,1500,1238,543,94
cross_category,7,1500,1175,519,93
same_category_different_cve,7,1500,1237,980,205
any_deranged,8,1500,1200,544,89
cross_category,8,1500,1217,533,98
same_category_different_cve,8,1500,1221,974,192
any_deranged,9,1500,1251,565,101
cross_category,9,1500,1196,523,89
same_category_different_cve,9,1500,1231,974,216
any_deranged,10,1500,1236,530,89
cross_category,10,1500,1219,521,99
same_category_different_cve,10,1500,1210,960,196
any_deranged,11,1500,1221,527,96
cross_category,11,1500,1207,505,90
same_category_different_cve,11,1500,1258,990,227
any_deranged,12,1500,1213,561,118
cross_category,12,1500,1193,525,89
same_category_different_cve,12,1500,1210,969,205
any_deranged,13,1500,1223,548,112
cross_category,13,1500,1194,540,94
same_category_different_cve,13,1500,1235,995,218
any_deranged,14,1500,1216,540,92
cross_category,14,1500,1226,519,103
same_category_different_cve,14,1500,1236,987,202
any_deranged,15,1500,1242,570,82
cross_category,15,1500,1221,514,93
same_category_different_cve,15,1500,1232,999,235
any_deranged,16,1500,1223,523,91
cross_category,16,1500,1203,531,115
same_category_different_cve,16,1500,1213,991,207
any_deranged,17,1500,1235,568,94
cross_category,17,1500,1212,515,94
same_category_different_cve,17,1500,1273,1003,219
any_deranged,18,1500,1211,545,102
cross_category,18,1500,1193,506,78
same_category_different_cve,18,1500,1251,1024,219
any_deranged,19,1500,1216,532,82
cross_category,19,1500,1200,544,80
same_category_different_cve,19,1500,1235,985,209
any_deranged,20,1500,1232,551,129
cross_category,20,1500,1209,487,87
same_category_different_cve,20,1500,1223,972,189
any_deranged,21,1500,1212,536,113
cross_category,21,1500,1180,499,93
same_category_different_cve,21,1500,1218,972,210
any_deranged,22,1500,1194,547,94
cross_category,22,1500,1194,492,100
same_category_different_cve,22,1500,1221,998,220
any_deranged,23,1500,1245,546,101
cross_category,23,1500,1209,507,100
same_category_different_cve,23,1500,1247,989,202
any_deranged,24,1500,1204,552,100
cross_category,24,1500,1228,529,98
same_category_different_cve,24,1500,1234,955,195
any_deranged,25,1500,1185,538,96
cross_category,25,1500,1193,517,92
same_category_different_cve,25,1500,1265,1000,212
any_deranged,26,1500,1211,551,91
cross_category,26,1500,1219,550,95
same_category_different_cve,26,1500,1225,967,214
any_deranged,27,1500,1240,552,98
cross_category,27,1500,1195,514,99
same_category_different_cve,27,1500,1232,974,205
any_deranged,28,1500,1222,534,93
cross_category,28,1500,1201,535,93
same_category_different_cve,28,1500,1209,972,233
any_deranged,29,1500,1223,567,106
cross_category,29,1500,1174,483,88
same_category_different_cve,29,1500,1237,991,211
any_deranged,30,1500,1209,552,94
cross_category,30,1500,1186,506,87
same_category_different_cve,30,1500,1211,941,216
any_deranged,31,1500,1201,503,95
cross_category,31,1500,1191,513,94
same_category_different_cve,31,1500,1216,949,192
any_deranged,32,1500,1217,562,104
cross_category,32,1500,1235,555,104
same_category_different_cve,32,1500,1246,946,206
any_deranged,33,1500,1226,517,92
cross_category,33,1500,1194,500,89
same_category_different_cve,33,1500,1234,987,211
any_deranged,34,1500,1226,550,109
cross_category,34,1500,1203,518,86
same_category_different_cve,34,1500,1229,959,196
any_deranged,35,1500,1214,572,95
cross_category,35,1500,1207,524,96
same_category_different_cve,35,1500,1197,951,183
any_deranged,36,1500,1249,585,99
cross_category,36,1500,1172,471,84
same_category_different_cve,36,1500,1229,985,201
any_deranged,37,1500,1217,508,105
cross_category,37,1500,1180,515,89
same_category_different_cve,37,1500,1226,980,214
any_deranged,38,1500,1224,520,88
cross_category,38,1500,1201,505,106
same_category_different_cve,38,1500,1239,988,185
any_deranged,39,1500,1239,528,90
cross_category,39,1500,1218,503,73
same_category_different_cve,39,1500,1213,933,202
any_deranged,40,1500,1233,546,114
cross_category,40,1500,1206,493,103
same_category_different_cve,40,1500,1223,965,222
any_deranged,41,1500,1204,534,89
cross_category,41,1500,1197,483,77
same_category_different_cve,41,1500,1247,975,200
any_deranged,42,1500,1197,551,95
cross_category,42,1500,1162,481,102
same_category_different_cve,42,1500,1261,1021,220
any_deranged,43,1500,1244,560,93
cross_category,43,1500,1148,485,99
same_category_different_cve,43,1500,1239,992,195
any_deranged,44,1500,1225,535,102
cross_category,44,1500,1205,491,82
same_category_different_cve,44,1500,1241,984,197
any_deranged,45,1500,1257,581,112
cross_category,45,1500,1222,520,83
same_category_different_cve,45,1500,1235,982,187
any_deranged,46,1500,1212,555,103
cross_category,46,1500,1185,491,103
same_category_different_cve,46,1500,1226,974,202
any_deranged,47,1500,1216,527,96
cross_category,47,1500,1171,477,84
same_category_different_cve,47,1500,1256,986,210
any_deranged,48,1500,1226,536,102
cross_category,48,1500,1200,481,81
same_category_different_cve,48,1500,1226,938,203
any_deranged,49,1500,1221,555,103
cross_category,49,1500,1214,532,84
same_category_different_cve,49,1500,1245,978,207
any_deranged,50,1500,1213,561,103
cross_category,50,1500,1160,465,75
same_category_different_cve,50,1500,1230,957,214
any_deranged,51,1500,1191,571,98
cross_category,51,1500,1214,525,88
same_category_different_cve,51,1500,1235,972,212
any_deranged,52,1500,1210,566,117
cross_category,52,1500,1187,513,89
same_category_different_cve,52,1500,1202,972,197
any_deranged,53,1500,1204,524,98
cross_category,53,1500,1197,509,102
same_category_different_cve,53,1500,1243,976,210
any_deranged,54,1500,1203,508,80
cross_category,54,1500,1203,523,88
same_category_different_cve,54,1500,1228,973,229
any_deranged,55,1500,1211,541,96
cross_category,55,1500,1207,484,83
same_category_different_cve,55,1500,1233,978,202
any_deranged,56,1500,1217,528,96
cross_category,56,1500,1180,497,87
same_category_different_cve,56,1500,1243,988,222
any_deranged,57,1500,1209,522,93
cross_category,57,1500,1208,519,94
same_category_different_cve,57,1500,1265,1018,224
any_deranged,58,1500,1213,489,82
cross_category,58,1500,1189,489,83
same_category_different_cve,58,1500,1230,970,202
any_deranged,59,1500,1221,520,95
cross_category,59,1500,1207,475,100
same_category_different_cve,59,1500,1237,982,232
any_deranged,60,1500,1208,537,106
cross_category,60,1500,1215,492,101
same_category_different_cve,60,1500,1213,983,184
any_deranged,61,1500,1232,555,94
cross_category,61,1500,1173,516,91
same_category_different_cve,61,1500,1219,972,205
any_deranged,62,1500,1237,564,110
cross_category,62,1500,1194,490,95
same_category_different_cve,62,1500,1237,986,209
any_deranged,63,1500,1243,552,75
cross_category,63,1500,1191,515,104
same_category_different_cve,63,1500,1246,1002,220
any_deranged,64,1500,1225,558,103
cross_category,64,1500,1200,521,89
same_category_different_cve,64,1500,1222,974,197
any_deranged,65,1500,1234,589,109
cross_category,65,1500,1172,488,92
same_category_different_cve,65,1500,1242,995,203
any_deranged,66,1500,1229,567,102
cross_category,66,1500,1227,542,96
same_category_different_cve,66,1500,1219,965,198
any_deranged,67,1500,1198,524,89
cross_category,67,1500,1190,489,89
same_category_different_cve,67,1500,1220,970,222
any_deranged,68,1500,1231,527,106
cross_category,68,1500,1208,514,94
same_category_different_cve,68,1500,1248,971,195
any_deranged,69,1500,1202,530,87
cross_category,69,1500,1190,499,89
same_category_different_cve,69,1500,1244,1010,214
any_deranged,70,1500,1219,529,110
cross_category,70,1500,1193,537,108
same_category_different_cve,70,1500,1244,997,203
any_deranged,71,1500,1189,511,95
cross_category,71,1500,1184,519,92
same_category_different_cve,71,1500,1246,973,206
any_deranged,72,1500,1220,562,95
cross_category,72,1500,1213,509,100
same_category_different_cve,72,1500,1255,999,192
any_deranged,73,1500,1228,554,92
cross_category,73,1500,1182,507,111
same_category_different_cve,73,1500,1237,963,204
any_deranged,74,1500,1218,535,88
cross_category,74,1500,1228,513,87
same_category_different_cve,74,1500,1258,1001,215
any_deranged,75,1500,1241,571,108
cross_category,75,1500,1182,505,87
same_category_different_cve,75,1500,1230,979,215
any_deranged,76,1500,1218,548,103
cross_category,76,1500,1205,510,114
same_category_different_cve,76,1500,1222,996,216
any_deranged,77,1500,1243,550,99
cross_category,77,1500,1182,475,83
same_category_different_cve,77,1500,1243,985,191
any_deranged,78,1500,1220,524,94
cross_category,78,1500,1183,495,93
same_category_different_cve,78,1500,1224,988,222
any_deranged,79,1500,1228,561,103
cross_category,79,1500,1199,524,93
same_category_different_cve,79,1500,1229,961,190
any_deranged,80,1500,1201,561,106
cross_category,80,1500,1188,506,96
same_category_different_cve,80,1500,1229,974,204
any_deranged,81,1500,1217,531,93
cross_category,81,1500,1208,518,82
same_category_different_cve,81,1500,1209,952,186
any_deranged,82,1500,1239,566,121
cross_category,82,1500,1211,500,107
same_category_different_cve,82,1500,1220,977,199
any_deranged,83,1500,1218,556,106
cross_category,83,1500,1208,506,99
same_category_different_cve,83,1500,1225,985,206
any_deranged,84,1500,1205,518,90
cross_category,84,1500,1193,489,87
same_category_different_cve,84,1500,1215,948,196
