idx,cve_id,hash,repo_url,language,cwe_id,ref_category,candidate_categories,token_coverage,structural_only_gate,category_gate,strict_mddc_gate
0,CVE-2024-24746,d42a0ebe6632bd0c318560e4293a522634f60594,https://github.com/apache/mynewt-nimble,C,CWE-835,resource_dos,command_injection;memory_safety;resource_dos;ssrf_redirect,0.06060606060606061,True,True,False
1,CVE-2020-7763,b5d2da2639a49a95e0bdb3bc0c987cb6406b8259,https://github.com/pofider/phantom-html-to-pdf,JavaScript,CWE-22,path_traversal,auth_access;command_injection;crypto_secret;memory_safety;path_traversal;resource_dos;sql_injection;ssrf_redirect;xss,0.15625,True,True,True
2,CVE-2023-51665,728496010cbfcee5b7b54001c9f79e02ede30d82,https://github.com/advplyr/audiobookshelf,JavaScript,CWE-918,ssrf_redirect,auth_access;memory_safety;path_traversal;sql_injection;ssrf_redirect,0.16216216216216217,True,True,True
3,CVE-2023-51697,f2f2ea161ca0701e1405e737b0df0f96296e4f64,https://github.com/advplyr/audiobookshelf,JavaScript,CWE-918,ssrf_redirect,crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss;xxe,0.16216216216216217,True,True,True
4,CVE-2024-35236,ce7f891b9b2cb57c6644aaf96f89a8bda6307664,https://github.com/advplyr/audiobookshelf,JSON,NVD-CWE-noinfo,path_traversal,command_injection;path_traversal;xss,0.0392156862745098,False,False,False
5,CVE-2021-4265,924d16008cfcc09356c87db01848e45290cb58ca,https://github.com/siwapp/siwapp-ror,Ruby,CWE-79,xss,auth_access;crypto_secret;path_traversal;ssrf_redirect;xss,0.045454545454545456,True,True,False
6,CVE-2017-16876,5f06d724bc05580e7f203db2d4a4905fc1127f98,https://github.com/lepture/mistune,Python,CWE-79,xss,auth_access;crypto_secret;xss,0.1282051282051282,True,True,True
7,CVE-2022-21159,cfa94cbf10302bedc779703f874ee2e8387a0721,https://github.com/mz-automation/libiec61850,C,CWE-835,resource_dos,memory_safety;resource_dos,0.09375,True,True,False
8,CVE-2022-3976,10622ba36bb3910c151348f1569f039ecdd8786f,https://github.com/mz-automation/libiec61850,C,CWE-22,path_traversal,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.15789473684210525,True,True,True
9,CVE-2023-27772,79a8eaf26070e02044afc4b2ffbfe777dfdf3e0b,https://github.com/mz-automation/libiec61850,C,CWE-754,ssrf_redirect,command_injection;memory_safety;ssrf_redirect,0.15384615384615385,True,True,True
10,CVE-2019-25087,1a0de56e4dafff9c2f9c8f6b130a764f7a50df52,https://github.com/RamseyK/httpserver,C++,CWE-22,path_traversal,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.17857142857142858,True,True,True
11,CVE-2014-2829,586d96cc12ef218243a3466354b4d208b5472a6c,https://github.com/esl/MongooseIM,Unknown,CWE-264,xxe,resource_dos;ssrf_redirect,0.0,False,False,False
12,CVE-2020-15084,7ecab5f8f0cab5297c2b863596566eb0c019cdef,https://github.com/auth0/express-jwt,Unknown,CWE-863,auth_access,ssrf_redirect,0.037037037037037035,False,False,False
13,CVE-2016-7149,9a4ab85439d1b838ee7b8eeebbf59174bb787811,https://github.com/b2evolution/b2evolution,PHP,CWE-79,xss,ssrf_redirect;xss,0.10526315789473684,True,True,True
