mode,trial,n_pairs,structural_only_admitted,category_gate_admitted,strict_mddc_gate_admitted
any_deranged,0,1500,1388,741,143
cross_category,0,1500,1498,762,122
same_category_different_cve,0,1500,1498,983,209
any_deranged,1,1500,1402,752,136
cross_category,1,1500,1496,731,119
same_category_different_cve,1,1500,1500,988,220
any_deranged,2,1500,1381,720,132
cross_category,2,1500,1500,741,149
same_category_different_cve,2,1500,1498,991,234
any_deranged,3,1500,1408,687,125
cross_category,3,1500,1500,749,126
same_category_different_cve,3,1500,1499,1006,187
any_deranged,4,1500,1413,732,115
cross_category,4,1500,1499,753,150
same_category_different_cve,4,1500,1500,1001,228
any_deranged,5,1500,1421,737,121
cross_category,5,1500,1500,740,136
same_category_different_cve,5,1500,1498,1013,217
any_deranged,6,1500,1399,727,124
cross_category,6,1500,1500,746,129
same_category_different_cve,6,1500,1499,1004,196
any_deranged,7,1500,1388,698,114
cross_category,7,1500,1500,754,128
same_category_different_cve,7,1500,1498,981,204
any_deranged,8,1500,1415,742,127
cross_category,8,1500,1500,753,142
same_category_different_cve,8,1500,1500,986,234
any_deranged,9,1500,1382,730,140
cross_category,9,1500,1499,710,135
same_category_different_cve,9,1500,1499,970,200
any_deranged,10,1500,1400,711,129
cross_category,10,1500,1500,754,135
same_category_different_cve,10,1500,1500,993,228
any_deranged,11,1500,1395,719,128
cross_category,11,1500,1500,724,148
same_category_different_cve,11,1500,1499,992,208
any_deranged,12,1500,1390,737,138
cross_category,12,1500,1500,739,133
same_category_different_cve,12,1500,1499,955,209
any_deranged,13,1500,1401,720,136
cross_category,13,1500,1499,708,124
same_category_different_cve,13,1500,1500,960,217
any_deranged,14,1500,1389,739,140
cross_category,14,1500,1499,762,146
same_category_different_cve,14,1500,1499,1004,201
any_deranged,15,1500,1381,706,118
cross_category,15,1500,1499,759,150
same_category_different_cve,15,1500,1500,989,215
any_deranged,16,1500,1385,726,126
cross_category,16,1500,1498,724,146
same_category_different_cve,16,1500,1499,981,229
any_deranged,17,1500,1395,717,138
cross_category,17,1500,1499,735,122
same_category_different_cve,17,1500,1498,949,188
any_deranged,18,1500,1393,728,138
cross_category,18,1500,1498,765,119
same_category_different_cve,18,1500,1499,1019,213
any_deranged,19,1500,1389,721,115
cross_category,19,1500,1499,774,135
same_category_different_cve,19,1500,1498,990,223
any_deranged,20,1500,1419,763,139
cross_category,20,1500,1500,774,133
same_category_different_cve,20,1500,1499,994,226
any_deranged,21,1500,1408,724,130
cross_category,21,1500,1499,751,141
same_category_different_cve,21,1500,1498,1008,231
any_deranged,22,1500,1418,734,137
cross_category,22,1500,1500,754,138
same_category_different_cve,22,1500,1497,987,219
any_deranged,23,1500,1415,748,155
cross_category,23,1500,1500,747,135
same_category_different_cve,23,1500,1497,1001,207
any_deranged,24,1500,1408,726,132
cross_category,24,1500,1500,770,152
same_category_different_cve,24,1500,1500,998,202
any_deranged,25,1500,1388,702,134
cross_category,25,1500,1500,713,118
same_category_different_cve,25,1500,1500,983,204
any_deranged,26,1500,1393,711,130
cross_category,26,1500,1499,761,131
same_category_different_cve,26,1500,1499,981,225
any_deranged,27,1500,1407,726,149
cross_category,27,1500,1499,750,130
same_category_different_cve,27,1500,1498,1004,214
any_deranged,28,1500,1378,707,142
cross_category,28,1500,1500,736,129
same_category_different_cve,28,1500,1499,1003,201
any_deranged,29,1500,1390,724,144
cross_category,29,1500,1498,723,125
same_category_different_cve,29,1500,1499,994,217
any_deranged,30,1500,1400,690,141
cross_category,30,1500,1500,769,144
same_category_different_cve,30,1500,1497,996,218
any_deranged,31,1500,1409,702,117
cross_category,31,1500,1499,728,120
same_category_different_cve,31,1500,1500,968,218
any_deranged,32,1500,1386,733,140
cross_category,32,1500,1499,737,130
same_category_different_cve,32,1500,1497,1004,220
any_deranged,33,1500,1400,719,127
cross_category,33,1500,1498,705,124
same_category_different_cve,33,1500,1500,967,203
any_deranged,34,1500,1378,685,116
cross_category,34,1500,1500,721,110
same_category_different_cve,34,1500,1499,1007,193
any_deranged,35,1500,1396,754,126
cross_category,35,1500,1500,740,119
same_category_different_cve,35,1500,1499,956,230
any_deranged,36,1500,1397,746,128
cross_category,36,1500,1500,761,132
same_category_different_cve,36,1500,1500,1017,235
any_deranged,37,1500,1392,731,145
cross_category,37,1500,1499,742,150
same_category_different_cve,37,1500,1499,1002,220
any_deranged,38,1500,1400,739,133
cross_category,38,1500,1500,741,130
same_category_different_cve,38,1500,1497,965,206
any_deranged,39,1500,1379,733,146
cross_category,39,1500,1499,734,143
same_category_different_cve,39,1500,1499,1012,215
any_deranged,40,1500,1389,768,152
cross_category,40,1500,1499,733,130
