idx,cve_id,cwe_id,project,lang,score,ref_category,candidate_categories,token_coverage,structural_only_gate,category_gate,strict_mddc_gate
0,CVE-2009-1194,CWE-189,pango,C,6.8,memory_safety,memory_safety;resource_dos,0.24242424242424243,True,True,True
1,CVE-2010-2809,CWE-94,uzbl,C,6.8,command_injection,command_injection;crypto_secret;ssrf_redirect,0.1111111111111111,True,True,True
2,CVE-2010-2060,,beanstalkd,C,7.5,command_injection,command_injection;path_traversal;resource_dos;ssrf_redirect,0.4583333333333333,True,True,True
3,CVE-2010-1155,CWE-20,irssi-proxy,C,6.8,crypto_secret,crypto_secret;deserialization;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.46153846153846156,True,True,True
4,CVE-2010-1152,CWE-20,memcached,C,5.0,resource_dos,command_injection,0.038461538461538464,True,False,False
5,CVE-2010-0011,CWE-264,uzbl,C,7.5,xss,auth_access;command_injection;deserialization;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.5,True,True,True
6,CVE-2011-2161,CWE-399,FFmpeg,C,4.3,resource_dos,memory_safety;resource_dos;ssrf_redirect,0.1724137931034483,True,True,True
7,CVE-2011-1575,CWE-399,pure-ftpd,C,5.8,sql_injection,auth_access;command_injection;crypto_secret;memory_safety;resource_dos,0.15625,True,False,False
8,CVE-2011-0530,CWE-119,nbd,C,7.5,memory_safety,auth_access;memory_safety;resource_dos;ssrf_redirect,0.25,True,True,True
9,CVE-2012-5532,,linux,C,4.9,resource_dos,memory_safety;resource_dos,0.3103448275862069,True,True,True
10,CVE-2012-5517,,linux,C,4.0,resource_dos,memory_safety;resource_dos,0.2857142857142857,True,True,True
11,CVE-2012-4565,CWE-189,linux,C,4.7,memory_safety,command_injection;resource_dos,0.6538461538461539,True,False,False
12,CVE-2012-4508,CWE-362,linux,C,1.9,other,auth_access;memory_safety;path_traversal;ssrf_redirect,0.3684210526315789,True,False,False
13,CVE-2012-4467,CWE-399,linux,C,6.6,resource_dos,command_injection;memory_safety;resource_dos,0.36666666666666664,True,True,True
14,CVE-2012-4444,,linux,C,5.0,other,memory_safety;resource_dos,0.35294117647058826,True,False,False
15,CVE-2012-3552,CWE-362,linux,C,5.4,resource_dos,auth_access;memory_safety;path_traversal;resource_dos;ssrf_redirect;xxe,0.14814814814814814,True,True,True
16,CVE-2012-3525,CWE-20,jabberd2,C,5.8,auth_access,crypto_secret;memory_safety,0.15,True,False,False
17,CVE-2012-3520,CWE-287,linux,C,1.9,auth_access,auth_access;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.375,True,True,True
