mode,trial,policy,n_pairs,false_admissions,false_admission_rate
any_deranged,0,structural_only,1500,1206,0.804
any_deranged,0,category_gate,1500,554,0.36933333333333335
any_deranged,0,mddc_strict,1500,117,0.078
cross_category,0,structural_only,1500,1205,0.8033333333333333
cross_category,0,category_gate,1500,506,0.3373333333333333
cross_category,0,mddc_strict,1500,81,0.054
same_category_different_cve,0,structural_only,1500,1231,0.8206666666666667
same_category_different_cve,0,category_gate,1500,959,0.6393333333333333
same_category_different_cve,0,mddc_strict,1500,182,0.12133333333333333
any_deranged,1,structural_only,1500,1247,0.8313333333333334
any_deranged,1,category_gate,1500,538,0.3586666666666667
any_deranged,1,mddc_strict,1500,99,0.066
cross_category,1,structural_only,1500,1209,0.806
cross_category,1,category_gate,1500,496,0.33066666666666666
cross_category,1,mddc_strict,1500,88,0.058666666666666666
same_category_different_cve,1,structural_only,1500,1236,0.824
same_category_different_cve,1,category_gate,1500,971,0.6473333333333333
same_category_different_cve,1,mddc_strict,1500,192,0.128
any_deranged,2,structural_only,1500,1224,0.816
any_deranged,2,category_gate,1500,541,0.3606666666666667
any_deranged,2,mddc_strict,1500,94,0.06266666666666666
cross_category,2,structural_only,1500,1186,0.7906666666666666
cross_category,2,category_gate,1500,501,0.334
cross_category,2,mddc_strict,1500,83,0.05533333333333333
same_category_different_cve,2,structural_only,1500,1236,0.824
same_category_different_cve,2,category_gate,1500,980,0.6533333333333333
same_category_different_cve,2,mddc_strict,1500,243,0.162
any_deranged,3,structural_only,1500,1254,0.836
any_deranged,3,category_gate,1500,573,0.382
any_deranged,3,mddc_strict,1500,108,0.072
cross_category,3,structural_only,1500,1155,0.77
cross_category,3,category_gate,1500,497,0.3313333333333333
cross_category,3,mddc_strict,1500,90,0.06
same_category_different_cve,3,structural_only,1500,1249,0.8326666666666667
same_category_different_cve,3,category_gate,1500,1002,0.668
same_category_different_cve,3,mddc_strict,1500,231,0.154
any_deranged,4,structural_only,1500,1199,0.7993333333333333
any_deranged,4,category_gate,1500,560,0.37333333333333335
any_deranged,4,mddc_strict,1500,98,0.06533333333333333
cross_category,4,structural_only,1500,1207,0.8046666666666666
cross_category,4,category_gate,1500,517,0.3446666666666667
cross_category,4,mddc_strict,1500,74,0.04933333333333333
same_category_different_cve,4,structural_only,1500,1224,0.816
same_category_different_cve,4,category_gate,1500,976,0.6506666666666666
same_category_different_cve,4,mddc_strict,1500,198,0.132
any_deranged,5,structural_only,1500,1223,0.8153333333333334
any_deranged,5,category_gate,1500,560,0.37333333333333335
any_deranged,5,mddc_strict,1500,103,0.06866666666666667
cross_category,5,structural_only,1500,1198,0.7986666666666666
cross_category,5,category_gate,1500,522,0.348
cross_category,5,mddc_strict,1500,104,0.06933333333333333
same_category_different_cve,5,structural_only,1500,1243,0.8286666666666667
same_category_different_cve,5,category_gate,1500,991,0.6606666666666666
same_category_different_cve,5,mddc_strict,1500,194,0.12933333333333333
any_deranged,6,structural_only,1500,1203,0.802
any_deranged,6,category_gate,1500,494,0.3293333333333333
any_deranged,6,mddc_strict,1500,85,0.056666666666666664
cross_category,6,structural_only,1500,1194,0.796
cross_category,6,category_gate,1500,489,0.326
cross_category,6,mddc_strict,1500,89,0.059333333333333335
same_category_different_cve,6,structural_only,1500,1230,0.82
same_category_different_cve,6,category_gate,1500,979,0.6526666666666666
same_category_different_cve,6,mddc_strict,1500,200,0.13333333333333333
any_deranged,7,structural_only,1500,1238,0.8253333333333334
any_deranged,7,category_gate,1500,543,0.362
any_deranged,7,mddc_strict,1500,94,0.06266666666666666
cross_category,7,structural_only,1500,1175,0.7833333333333333
