mode,policy,trials,n_pairs,mean_false_admissions,max_false_admissions,mean_false_admission_rate,max_false_admission_rate
any_deranged,category_gate,200,1500.0,545.41,589,0.3636066666666667,0.39266666666666666
any_deranged,cvss_only,200,1500.0,718.685,768,0.47912333333333335,0.512
any_deranged,mddc_strict,200,1500.0,99.095,129,0.06606333333333334,0.086
any_deranged,structural_only,200,1500.0,1220.105,1259,0.8134033333333334,0.8393333333333334
cross_category,category_gate,200,1500.0,506.225,555,0.33748333333333336,0.37
cross_category,cvss_only,200,1500.0,719.16,767,0.47944000000000003,0.5113333333333333
cross_category,mddc_strict,200,1500.0,91.81,115,0.061206666666666666,0.07666666666666666
cross_category,structural_only,200,1500.0,1197.22,1235,0.7981466666666667,0.8233333333333334
same_category_different_cve,category_gate,200,1500.0,978.36,1036,0.65224,0.6906666666666667
same_category_different_cve,cvss_only,200,1500.0,719.135,774,0.4794233333333333,0.516
same_category_different_cve,mddc_strict,200,1500.0,207.01,247,0.13800666666666667,0.16466666666666666
same_category_different_cve,structural_only,200,1500.0,1233.33,1275,0.82222,0.85
