dataset,trial,policy,control_mode,n_pairs,false_admissions,false_admission_rate
CVEfixes,0,mddc_strict_gate,same_category_different_cve,1500,216,0.144
CVEfixes,0,risk_score_tuned,same_category_different_cve,1500,735,0.49
CVEfixes,0,coverage_only_tuned,same_category_different_cve,1500,84,0.056
CVEfixes,0,random_at_mddc_recall,same_category_different_cve,1500,776,0.5173333333333333
CVEfixes,1,mddc_strict_gate,same_category_different_cve,1500,214,0.14266666666666666
CVEfixes,1,risk_score_tuned,same_category_different_cve,1500,711,0.474
CVEfixes,1,coverage_only_tuned,same_category_different_cve,1500,89,0.059333333333333335
CVEfixes,1,random_at_mddc_recall,same_category_different_cve,1500,719,0.47933333333333333
CVEfixes,2,mddc_strict_gate,same_category_different_cve,1500,217,0.14466666666666667
CVEfixes,2,risk_score_tuned,same_category_different_cve,1500,759,0.506
CVEfixes,2,coverage_only_tuned,same_category_different_cve,1500,85,0.056666666666666664
CVEfixes,2,random_at_mddc_recall,same_category_different_cve,1500,725,0.48333333333333334
CVEfixes,3,mddc_strict_gate,same_category_different_cve,1500,212,0.14133333333333334
CVEfixes,3,risk_score_tuned,same_category_different_cve,1500,747,0.498
CVEfixes,3,coverage_only_tuned,same_category_different_cve,1500,69,0.046
CVEfixes,3,random_at_mddc_recall,same_category_different_cve,1500,731,0.48733333333333334
CVEfixes,4,mddc_strict_gate,same_category_different_cve,1500,200,0.13333333333333333
CVEfixes,4,risk_score_tuned,same_category_different_cve,1500,718,0.4786666666666667
CVEfixes,4,coverage_only_tuned,same_category_different_cve,1500,88,0.058666666666666666
CVEfixes,4,random_at_mddc_recall,same_category_different_cve,1500,742,0.49466666666666664
CVEfixes,5,mddc_strict_gate,same_category_different_cve,1500,180,0.12
CVEfixes,5,risk_score_tuned,same_category_different_cve,1500,683,0.4553333333333333
CVEfixes,5,coverage_only_tuned,same_category_different_cve,1500,75,0.05
CVEfixes,5,random_at_mddc_recall,same_category_different_cve,1500,767,0.5113333333333333
CVEfixes,6,mddc_strict_gate,same_category_different_cve,1500,224,0.14933333333333335
CVEfixes,6,risk_score_tuned,same_category_different_cve,1500,702,0.468
CVEfixes,6,coverage_only_tuned,same_category_different_cve,1500,86,0.05733333333333333
CVEfixes,6,random_at_mddc_recall,same_category_different_cve,1500,770,0.5133333333333333
CVEfixes,7,mddc_strict_gate,same_category_different_cve,1500,199,0.13266666666666665
CVEfixes,7,risk_score_tuned,same_category_different_cve,1500,708,0.472
CVEfixes,7,coverage_only_tuned,same_category_different_cve,1500,66,0.044
CVEfixes,7,random_at_mddc_recall,same_category_different_cve,1500,725,0.48333333333333334
CVEfixes,8,mddc_strict_gate,same_category_different_cve,1500,204,0.136
CVEfixes,8,risk_score_tuned,same_category_different_cve,1500,738,0.492
CVEfixes,8,coverage_only_tuned,same_category_different_cve,1500,76,0.050666666666666665
CVEfixes,8,random_at_mddc_recall,same_category_different_cve,1500,750,0.5
CVEfixes,9,mddc_strict_gate,same_category_different_cve,1500,200,0.13333333333333333
CVEfixes,9,risk_score_tuned,same_category_different_cve,1500,741,0.494
CVEfixes,9,coverage_only_tuned,same_category_different_cve,1500,73,0.048666666666666664
CVEfixes,9,random_at_mddc_recall,same_category_different_cve,1500,743,0.49533333333333335
CVEfixes,10,mddc_strict_gate,same_category_different_cve,1500,225,0.15
CVEfixes,10,risk_score_tuned,same_category_different_cve,1500,731,0.48733333333333334
CVEfixes,10,coverage_only_tuned,same_category_different_cve,1500,80,0.05333333333333334
CVEfixes,10,random_at_mddc_recall,same_category_different_cve,1500,700,0.4666666666666667
CVEfixes,11,mddc_strict_gate,same_category_different_cve,1500,202,0.13466666666666666
CVEfixes,11,risk_score_tuned,same_category_different_cve,1500,744,0.496
CVEfixes,11,coverage_only_tuned,same_category_different_cve,1500,73,0.048666666666666664
CVEfixes,11,random_at_mddc_recall,same_category_different_cve,1500,704,0.4693333333333333
CVEfixes,12,mddc_strict_gate,same_category_different_cve,1500,182,0.12133333333333333
CVEfixes,12,risk_score_tuned,same_category_different_cve,1500,776,0.5173333333333333
CVEfixes,12,coverage_only_tuned,same_category_different_cve,1500,74,0.04933333333333333
CVEfixes,12,random_at_mddc_recall,same_category_different_cve,1500,749,0.49933333333333335
CVEfixes,13,mddc_strict_gate,same_category_different_cve,1500,211,0.14066666666666666
CVEfixes,13,risk_score_tuned,same_category_different_cve,1500,731,0.48733333333333334
CVEfixes,13,coverage_only_tuned,same_category_different_cve,1500,76,0.050666666666666665
CVEfixes,13,random_at_mddc_recall,same_category_different_cve,1500,761,0.5073333333333333
CVEfixes,14,mddc_strict_gate,same_category_different_cve,1500,218,0.14533333333333334
CVEfixes,14,risk_score_tuned,same_category_different_cve,1500,699,0.466
CVEfixes,14,coverage_only_tuned,same_category_different_cve,1500,83,0.05533333333333333
CVEfixes,14,random_at_mddc_recall,same_category_different_cve,1500,756,0.504
CVEfixes,15,mddc_strict_gate,same_category_different_cve,1500,196,0.13066666666666665
CVEfixes,15,risk_score_tuned,same_category_different_cve,1500,718,0.4786666666666667
CVEfixes,15,coverage_only_tuned,same_category_different_cve,1500,67,0.04466666666666667
CVEfixes,15,random_at_mddc_recall,same_category_different_cve,1500,698,0.4653333333333333
CVEfixes,16,mddc_strict_gate,same_category_different_cve,1500,219,0.146
CVEfixes,16,risk_score_tuned,same_category_different_cve,1500,718,0.4786666666666667
CVEfixes,16,coverage_only_tuned,same_category_different_cve,1500,91,0.06066666666666667
CVEfixes,16,random_at_mddc_recall,same_category_different_cve,1500,740,0.49333333333333335
CVEfixes,17,mddc_strict_gate,same_category_different_cve,1500,226,0.15066666666666667
CVEfixes,17,risk_score_tuned,same_category_different_cve,1500,721,0.4806666666666667
CVEfixes,17,coverage_only_tuned,same_category_different_cve,1500,65,0.043333333333333335
CVEfixes,17,random_at_mddc_recall,same_category_different_cve,1500,747,0.498
CVEfixes,18,mddc_strict_gate,same_category_different_cve,1500,229,0.15266666666666667
CVEfixes,18,risk_score_tuned,same_category_different_cve,1500,711,0.474
CVEfixes,18,coverage_only_tuned,same_category_different_cve,1500,84,0.056
CVEfixes,18,random_at_mddc_recall,same_category_different_cve,1500,745,0.49666666666666665
CVEfixes,19,mddc_strict_gate,same_category_different_cve,1500,182,0.12133333333333333
CVEfixes,19,risk_score_tuned,same_category_different_cve,1500,769,0.5126666666666667
CVEfixes,19,coverage_only_tuned,same_category_different_cve,1500,85,0.056666666666666664
CVEfixes,19,random_at_mddc_recall,same_category_different_cve,1500,749,0.49933333333333335
CVEfixes,20,mddc_strict_gate,same_category_different_cve,1500,198,0.132
CVEfixes,20,risk_score_tuned,same_category_different_cve,1500,748,0.49866666666666665
CVEfixes,20,coverage_only_tuned,same_category_different_cve,1500,85,0.056666666666666664
CVEfixes,20,random_at_mddc_recall,same_category_different_cve,1500,741,0.494
CVEfixes,21,mddc_strict_gate,same_category_different_cve,1500,219,0.146
CVEfixes,21,risk_score_tuned,same_category_different_cve,1500,716,0.47733333333333333
CVEfixes,21,coverage_only_tuned,same_category_different_cve,1500,75,0.05
CVEfixes,21,random_at_mddc_recall,same_category_different_cve,1500,753,0.502
CVEfixes,22,mddc_strict_gate,same_category_different_cve,1500,215,0.14333333333333334
CVEfixes,22,risk_score_tuned,same_category_different_cve,1500,762,0.508
CVEfixes,22,coverage_only_tuned,same_category_different_cve,1500,87,0.058
CVEfixes,22,random_at_mddc_recall,same_category_different_cve,1500,751,0.5006666666666667
CVEfixes,23,mddc_strict_gate,same_category_different_cve,1500,208,0.13866666666666666
CVEfixes,23,risk_score_tuned,same_category_different_cve,1500,776,0.5173333333333333
CVEfixes,23,coverage_only_tuned,same_category_different_cve,1500,53,0.035333333333333335
CVEfixes,23,random_at_mddc_recall,same_category_different_cve,1500,742,0.49466666666666664
CVEfixes,24,mddc_strict_gate,same_category_different_cve,1500,187,0.12466666666666666
CVEfixes,24,risk_score_tuned,same_category_different_cve,1500,708,0.472
CVEfixes,24,coverage_only_tuned,same_category_different_cve,1500,69,0.046
CVEfixes,24,random_at_mddc_recall,same_category_different_cve,1500,723,0.482
CVEfixes,25,mddc_strict_gate,same_category_different_cve,1500,201,0.134
CVEfixes,25,risk_score_tuned,same_category_different_cve,1500,717,0.478
CVEfixes,25,coverage_only_tuned,same_category_different_cve,1500,58,0.03866666666666667
CVEfixes,25,random_at_mddc_recall,same_category_different_cve,1500,758,0.5053333333333333
CVEfixes,26,mddc_strict_gate,same_category_different_cve,1500,221,0.14733333333333334
CVEfixes,26,risk_score_tuned,same_category_different_cve,1500,730,0.4866666666666667
CVEfixes,26,coverage_only_tuned,same_category_different_cve,1500,72,0.048
CVEfixes,26,random_at_mddc_recall,same_category_different_cve,1500,733,0.4886666666666667
CVEfixes,27,mddc_strict_gate,same_category_different_cve,1500,206,0.13733333333333334
CVEfixes,27,risk_score_tuned,same_category_different_cve,1500,730,0.4866666666666667
CVEfixes,27,coverage_only_tuned,same_category_different_cve,1500,66,0.044
CVEfixes,27,random_at_mddc_recall,same_category_different_cve,1500,738,0.492
CVEfixes,28,mddc_strict_gate,same_category_different_cve,1500,197,0.13133333333333333
CVEfixes,28,risk_score_tuned,same_category_different_cve,1500,727,0.4846666666666667
CVEfixes,28,coverage_only_tuned,same_category_different_cve,1500,79,0.05266666666666667
CVEfixes,28,random_at_mddc_recall,same_category_different_cve,1500,735,0.49
CVEfixes,29,mddc_strict_gate,same_category_different_cve,1500,208,0.13866666666666666
CVEfixes,29,risk_score_tuned,same_category_different_cve,1500,752,0.5013333333333333
CVEfixes,29,coverage_only_tuned,same_category_different_cve,1500,76,0.050666666666666665
CVEfixes,29,random_at_mddc_recall,same_category_different_cve,1500,733,0.4886666666666667
CVEfixes,30,mddc_strict_gate,same_category_different_cve,1500,213,0.142
CVEfixes,30,risk_score_tuned,same_category_different_cve,1500,752,0.5013333333333333
CVEfixes,30,coverage_only_tuned,same_category_different_cve,1500,74,0.04933333333333333
CVEfixes,30,random_at_mddc_recall,same_category_different_cve,1500,750,0.5
CVEfixes,31,mddc_strict_gate,same_category_different_cve,1500,196,0.13066666666666665
CVEfixes,31,risk_score_tuned,same_category_different_cve,1500,734,0.48933333333333334
CVEfixes,31,coverage_only_tuned,same_category_different_cve,1500,58,0.03866666666666667
CVEfixes,31,random_at_mddc_recall,same_category_different_cve,1500,785,0.5233333333333333
CVEfixes,32,mddc_strict_gate,same_category_different_cve,1500,181,0.12066666666666667
CVEfixes,32,risk_score_tuned,same_category_different_cve,1500,727,0.4846666666666667
CVEfixes,32,coverage_only_tuned,same_category_different_cve,1500,84,0.056
CVEfixes,32,random_at_mddc_recall,same_category_different_cve,1500,757,0.5046666666666667
CVEfixes,33,mddc_strict_gate,same_category_different_cve,1500,210,0.14
CVEfixes,33,risk_score_tuned,same_category_different_cve,1500,712,0.4746666666666667
CVEfixes,33,coverage_only_tuned,same_category_different_cve,1500,83,0.05533333333333333
CVEfixes,33,random_at_mddc_recall,same_category_different_cve,1500,734,0.48933333333333334
CVEfixes,34,mddc_strict_gate,same_category_different_cve,1500,226,0.15066666666666667
CVEfixes,34,risk_score_tuned,same_category_different_cve,1500,698,0.4653333333333333
CVEfixes,34,coverage_only_tuned,same_category_different_cve,1500,88,0.058666666666666666
CVEfixes,34,random_at_mddc_recall,same_category_different_cve,1500,776,0.5173333333333333
CVEfixes,35,mddc_strict_gate,same_category_different_cve,1500,197,0.13133333333333333
CVEfixes,35,risk_score_tuned,same_category_different_cve,1500,751,0.5006666666666667
CVEfixes,35,coverage_only_tuned,same_category_different_cve,1500,71,0.04733333333333333
CVEfixes,35,random_at_mddc_recall,same_category_different_cve,1500,757,0.5046666666666667
CVEfixes,36,mddc_strict_gate,same_category_different_cve,1500,207,0.138
CVEfixes,36,risk_score_tuned,same_category_different_cve,1500,754,0.5026666666666667
CVEfixes,36,coverage_only_tuned,same_category_different_cve,1500,78,0.052
CVEfixes,36,random_at_mddc_recall,same_category_different_cve,1500,729,0.486
CVEfixes,37,mddc_strict_gate,same_category_different_cve,1500,219,0.146
CVEfixes,37,risk_score_tuned,same_category_different_cve,1500,713,0.47533333333333333
CVEfixes,37,coverage_only_tuned,same_category_different_cve,1500,84,0.056
CVEfixes,37,random_at_mddc_recall,same_category_different_cve,1500,750,0.5
CVEfixes,38,mddc_strict_gate,same_category_different_cve,1500,191,0.12733333333333333
CVEfixes,38,risk_score_tuned,same_category_different_cve,1500,728,0.48533333333333334
CVEfixes,38,coverage_only_tuned,same_category_different_cve,1500,70,0.04666666666666667
CVEfixes,38,random_at_mddc_recall,same_category_different_cve,1500,713,0.47533333333333333
CVEfixes,39,mddc_strict_gate,same_category_different_cve,1500,193,0.12866666666666668
CVEfixes,39,risk_score_tuned,same_category_different_cve,1500,765,0.51
CVEfixes,39,coverage_only_tuned,same_category_different_cve,1500,65,0.043333333333333335
CVEfixes,39,random_at_mddc_recall,same_category_different_cve,1500,745,0.49666666666666665
CVEfixes,40,mddc_strict_gate,same_category_different_cve,1500,223,0.14866666666666667
CVEfixes,40,risk_score_tuned,same_category_different_cve,1500,744,0.496
CVEfixes,40,coverage_only_tuned,same_category_different_cve,1500,109,0.07266666666666667
CVEfixes,40,random_at_mddc_recall,same_category_different_cve,1500,752,0.5013333333333333
CVEfixes,41,mddc_strict_gate,same_category_different_cve,1500,225,0.15
CVEfixes,41,risk_score_tuned,same_category_different_cve,1500,721,0.4806666666666667
CVEfixes,41,coverage_only_tuned,same_category_different_cve,1500,70,0.04666666666666667
CVEfixes,41,random_at_mddc_recall,same_category_different_cve,1500,736,0.49066666666666664
CVEfixes,42,mddc_strict_gate,same_category_different_cve,1500,195,0.13
CVEfixes,42,risk_score_tuned,same_category_different_cve,1500,768,0.512
CVEfixes,42,coverage_only_tuned,same_category_different_cve,1500,63,0.042
CVEfixes,42,random_at_mddc_recall,same_category_different_cve,1500,780,0.52
CVEfixes,43,mddc_strict_gate,same_category_different_cve,1500,217,0.14466666666666667
CVEfixes,43,risk_score_tuned,same_category_different_cve,1500,769,0.5126666666666667
CVEfixes,43,coverage_only_tuned,same_category_different_cve,1500,77,0.051333333333333335
