dataset,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,validation_debt_cost,debt_adjusted_utility,meets_false_constraint
CVEfixes,risk_score,Risk score,10.0,56,36,12612,92,12668,8000,0.004420587306599305,0.0045,0.6086956521739131,0.004451325720921231,0.2626174194593962,-0.25819683215279693,True
CVEfixes,risk_score,Risk score,9.9,74,49,12594,123,12668,8000,0.0058414903694347965,0.006125,0.6016260162601627,0.005951228952970776,0.2672121888552898,-0.26137069848585504,True
CVEfixes,risk_score,Risk score,9.8,1761,1128,10907,2889,12668,8000,0.13901168298073888,0.141,0.6095534787123572,0.13978130443197212,0.6452361444764138,-0.506224461495675,True
CVEfixes,risk_score,Risk score,9.6,1794,1149,10874,2943,12668,8000,0.1416166719292706,0.143625,0.6095820591233435,0.142394039094252,0.6525905339723949,-0.5109738620431242,True
CVEfixes,risk_score,Risk score,9.4,1797,1151,10871,2948,12668,8000,0.14185348910640985,0.143875,0.6095658073270014,0.142635958970389,0.6532934256719171,-0.5114399365655072,True
CVEfixes,risk_score,Risk score,9.3,1814,1161,10854,2975,12668,8000,0.14319545311019893,0.145125,0.6097478991596639,0.14394232630152892,0.6567732530375268,-0.5135777999273278,True
CVEfixes,risk_score,Risk score,9.1,1962,1261,10706,3223,12668,8000,0.15487843384906852,0.157625,0.6087496121625815,0.1559415521579253,0.691952469145629,-0.5370740352965605,False
CVEfixes,risk_score,Risk score,9.0,2005,1291,10663,3296,12668,8000,0.15827281338806443,0.161375,0.6083131067961165,0.15947358234952583,0.7025304757704601,-0.5442576623823957,False
CVEfixes,risk_score,Risk score,8.9,2006,1291,10662,3297,12668,8000,0.15835175244711083,0.161375,0.6084319077949651,0.15952196632475324,0.70251316020446,-0.5441614077573491,False
CVEfixes,risk_score,Risk score,8.8,2814,1795,9854,4609,12668,8000,0.2221345121566151,0.224375,0.6105445866782382,0.2230017418231082,0.8787414590520016,-0.6566069468953866,False
CVEfixes,risk_score,Risk score,8.7,2823,1799,9845,4622,12668,8000,0.22284496368803283,0.224875,0.610774556469061,0.22363073350106444,0.880095295753045,-0.6572503320650122,False
CVEfixes,risk_score,Risk score,8.6,2864,1824,9804,4688,12668,8000,0.2260814651089359,0.228,0.6109215017064846,0.22682407586607314,0.8888208375160697,-0.6627393724071338,False
CVEfixes,risk_score,Risk score,8.5,2871,1829,9797,4700,12668,8000,0.22663403852226083,0.228625,0.6108510638297873,0.227404683568802,0.8905867245478749,-0.6639526860256141,False
CVEfixes,risk_score,Risk score,8.4,2876,1837,9792,4713,12668,8000,0.2270287338174929,0.229625,0.6102270316146828,0.22803367524675827,0.8935195003079648,-0.6664907664904719,False
CVEfixes,risk_score,Risk score,8.3,2880,1841,9788,4721,12668,8000,0.22734449005367857,0.230125,0.6100402457106545,0.2284207470485775,0.8949599148390092,-0.6676154247853305,False
CVEfixes,risk_score,Risk score,8.2,2921,1860,9747,4781,12668,8000,0.2305809914745816,0.2325,0.6109600501987033,0.2313237855622218,0.9014209414094657,-0.670839949934884,False
CVEfixes,risk_score,Risk score,8.1,3135,1997,9533,5132,12668,8000,0.24747395011051468,0.249625,0.6108729540140296,0.24830656086704084,0.9494218405157234,-0.7019478904052088,False
CVEfixes,risk_score,Risk score,8.0,3163,2015,9505,5178,12668,8000,0.24968424376381435,0.251875,0.6108536114329857,0.25053222372750145,0.9557305502454215,-0.7060463064816072,False
CVEfixes,risk_score,Risk score,7.9,3165,2016,9503,5181,12668,8000,0.24984212188190716,0.252,0.6108859293572669,0.25067737565318365,0.9560733383121823,-0.7062312164302752,False
CVEfixes,risk_score,Risk score,7.8,4016,2525,8652,6541,12668,8000,0.31701926113040735,0.315625,0.6139733985629109,0.316479581962454,1.1334441638155208,-0.8164249026851135,False
CVEfixes,risk_score,Risk score,7.7,4037,2537,8631,6574,12668,8000,0.3186769813703821,0.317125,0.6140857925159721,0.3180762531449584,1.1376095673146525,-0.8189325859442702,False
CVEfixes,risk_score,Risk score,7.6,4052,2551,8616,6603,12668,8000,0.3198610672560783,0.318875,0.6136604573678631,0.3194793884265531,1.1426337026073081,-0.8227726353512298,False
CVEfixes,risk_score,Risk score,7.5,5707,3628,6961,9335,12668,8000,0.45050520997789706,0.4535,0.6113551151580074,0.4516644087478227,1.520456917942917,-1.06995170796502,False
CVEfixes,risk_score,Risk score,7.4,5726,3638,6942,9364,12668,8000,0.452005052099779,0.45475,0.611490815890645,0.45306754402941746,1.523902114176526,-1.0718970620767472,False
CVEfixes,risk_score,Risk score,7.3,5769,3665,6899,9434,12668,8000,0.4553994316387749,0.458125,0.6115115539537842,0.4564544222953358,1.5333478632050732,-1.0779484315662984,False
CVEfixes,risk_score,Risk score,7.2,5908,3752,6760,9660,12668,8000,0.46637196084622673,0.469,0.6115942028985507,0.46738920069672923,1.56377646982328,-1.0974045089770532,False
CVEfixes,risk_score,Risk score,7.1,6033,3833,6635,9866,12668,8000,0.4762393432270287,0.479125,0.6114940198662072,0.4773562995935746,1.5921829791729216,-1.115943635945893,False
CVEfixes,risk_score,Risk score,7.0,6093,3874,6575,9967,12668,8000,0.4809756867698137,0.48425,0.6113173472459115,0.48224308109154246,1.6066182323621239,-1.12564254559231,False
CVEfixes,risk_score,Risk score,6.9,6122,3886,6546,10008,12668,8000,0.48326491948215977,0.48575,0.6117106314948042,0.4842268240758661,1.6106451113332534,-1.1273801918510937,False
CVEfixes,risk_score,Risk score,6.8,6223,3960,6445,10183,12668,8000,0.4912377644458478,0.495,0.6111165668270647,0.4926940197406619,1.636825259875571,-1.1455874954297232,False
CVEfixes,risk_score,Risk score,6.7,6246,3979,6422,10225,12668,8000,0.4930533628039154,0.497375,0.6108557457212714,0.49472614670021287,1.643597966634032,-1.1505446038301166,False
CVEfixes,risk_score,Risk score,6.6,6280,3996,6388,10276,12668,8000,0.49573729081149354,0.4995,0.6111327364733359,0.4971937294368105,1.649425363768967,-1.1536880729574734,False
