dataset,false_cost,miss_cost,review_cost,alpha,selected_policy,selected_policy_label,threshold,recall,false_admission_rate,precision,review_rate,utility
BigVul,0.5,0.0,0.0,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5917384927797834
BigVul,0.5,0.0,0.0,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.6306453068592057
BigVul,0.5,0.0,0.0,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.6411383122743682
BigVul,0.5,0.0,0.0,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.6462267599277978
BigVul,0.5,0.0,0.0,0.3,coverage_only,Coverage only,0.0833333333333333,0.769404332129964,0.243875,0.6360753590747995,0.4312258687258687,0.6474668321299639
BigVul,0.5,0.0,0.02,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5867079264992171
BigVul,0.5,0.0,0.02,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.6246285758424747
BigVul,0.5,0.0,0.02,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.6341531127891687
BigVul,0.5,0.0,0.02,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.6383342245352623
BigVul,0.5,0.0,0.02,0.3,coverage_only,Coverage only,0.0888888888888888,0.7547382671480144,0.214625,0.6608060055314106,0.4071750321750321,0.6392822665045137
BigVul,0.5,0.0,0.05,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5791620770783678
BigVul,0.5,0.0,0.05,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.6156034793173781
BigVul,0.5,0.0,0.05,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.6236753135613695
BigVul,0.5,0.0,0.05,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.6264954214464593
BigVul,0.5,0.0,0.05,0.3,coverage_only,Coverage only,0.0888888888888888,0.7547382671480144,0.214625,0.6608060055314106,0.4071750321750321,0.6270670155392628
BigVul,0.5,0.0,0.1,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.566585661376952
BigVul,0.5,0.0,0.1,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.6005616517755507
BigVul,0.5,0.0,0.1,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.6062123148483708
BigVul,0.5,0.0,0.1,0.2,coverage_only,Coverage only,0.0975609756097561,0.7353339350180506,0.1805,0.6929619391877525,0.3782979407979408,0.6072541409382566
BigVul,0.5,0.0,0.1,0.3,coverage_only,Coverage only,0.0975609756097561,0.7353339350180506,0.1805,0.6929619391877525,0.3782979407979408,0.6072541409382566
BigVul,0.5,0.0,0.2,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5414328299741206
BigVul,0.5,0.0,0.2,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.5704779966918956
BigVul,0.5,0.0,0.2,0.15,coverage_only,Coverage only,0.1176470588235294,0.6987815884476535,0.1215,0.7611206684689112,0.3273005148005148,0.5725714854875505
BigVul,0.5,0.0,0.2,0.2,coverage_only,Coverage only,0.1176470588235294,0.6987815884476535,0.1215,0.7611206684689112,0.3273005148005148,0.5725714854875505
BigVul,0.5,0.0,0.2,0.3,coverage_only,Coverage only,0.1176470588235294,0.6987815884476535,0.1215,0.7611206684689112,0.3273005148005148,0.5725714854875505
