negative_mode,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,debt_adjusted_utility,meets_false_constraint
same_cwe_different_cve,risk_only,Risk only,1.0,13,13,5941,26,5954,5954,0.002183406113537118,0.002183406113537118,0.5,0.002183406113537118,-0.25393013100436684,True
same_cwe_different_cve,risk_only,Risk only,0.9760360000000001,87,87,5867,174,5954,5954,0.014612025529056097,0.014612025529056097,0.5,0.014612025529056097,-0.276301645952301,True
same_cwe_different_cve,risk_only,Risk only,0.962296,144,144,5810,288,5954,5954,0.02418542156533423,0.02418542156533423,0.5,0.02418542156533423,-0.29353375881760163,True
same_cwe_different_cve,risk_only,Risk only,0.9509640000000001,197,197,5757,394,5954,5954,0.03308700033590863,0.03308700033590863,0.5,0.03308700033590863,-0.3095566006046355,True
same_cwe_different_cve,risk_only,Risk only,0.9421240000000002,239,239,5715,478,5954,5954,0.040141081625797784,0.040141081625797784,0.5,0.040141081625797784,-0.322253946926436,True
same_cwe_different_cve,risk_only,Risk only,0.9362360000000001,297,297,5657,594,5954,5954,0.04988243197850185,0.04988243197850185,0.5,0.04988243197850185,-0.33978837756130337,True
same_cwe_different_cve,risk_only,Risk only,0.930564,360,360,5594,720,5954,5954,0.06046355391333557,0.06046355391333557,0.5,0.06046355391333557,-0.35883439704400405,True
same_cwe_different_cve,risk_only,Risk only,0.9198480000000001,409,409,5545,818,5954,5954,0.06869331541820625,0.06869331541820625,0.5,0.06869331541820625,-0.3736479677527713,True
same_cwe_different_cve,risk_only,Risk only,0.9102760000000001,468,468,5486,936,5954,5954,0.07860262008733625,0.07860262008733625,0.5,0.07860262008733625,-0.3914847161572052,True
same_cwe_different_cve,risk_only,Risk only,0.8996400000000001,506,506,5448,1012,5954,5954,0.08498488411152166,0.08498488411152166,0.5,0.08498488411152166,-0.402972791400739,True
same_cwe_different_cve,risk_only,Risk only,0.8890720000000001,552,552,5402,1104,5954,5954,0.09271078266711455,0.09271078266711455,0.5,0.09271078266711455,-0.41687940880080626,True
same_cwe_different_cve,risk_only,Risk only,0.8818920000000001,600,600,5354,1200,5954,5954,0.10077258985555929,0.10077258985555929,0.5,0.10077258985555929,-0.43139066174000673,True
same_cwe_different_cve,risk_only,Risk only,0.8745639999999999,645,645,5309,1290,5954,5954,0.10833053409472623,0.10833053409472623,0.5,0.10833053409472623,-0.44499496137050715,True
same_cwe_different_cve,risk_only,Risk only,0.8624240000000001,698,698,5256,1396,5954,5954,0.11723211286530064,0.11723211286530064,0.5,0.11723211286530064,-0.4610178031575411,True
same_cwe_different_cve,risk_only,Risk only,0.8552080000000001,749,749,5205,1498,5954,5954,0.1257977830030232,0.1257977830030232,0.5,0.1257977830030232,-0.47643600940544173,True
same_cwe_different_cve,risk_only,Risk only,0.848372,801,801,5153,1602,5954,5954,0.13453140745717165,0.13453140745717165,0.5,0.13453140745717165,-0.49215653342290905,True
same_cwe_different_cve,risk_only,Risk only,0.842724,847,847,5107,1694,5954,5954,0.14225730601276454,0.14225730601276454,0.5,0.14225730601276454,-0.5060631508229761,True
same_cwe_different_cve,risk_only,Risk only,0.838476,889,889,5065,1778,5954,5954,0.14931138730265367,0.14931138730265367,0.5,0.14931138730265367,-0.5187604971447766,True
same_cwe_different_cve,risk_only,Risk only,0.8328679999999999,940,940,5014,1880,5954,5954,0.15787705744037622,0.15787705744037622,0.5,0.15787705744037622,-0.5341787033926771,False
same_cwe_different_cve,risk_only,Risk only,0.8251120000000001,982,982,4972,1964,5954,5954,0.16493113873026538,0.16493113873026538,0.5,0.16493113873026538,-0.5468760497144777,False
same_cwe_different_cve,risk_only,Risk only,0.820584,1025,1025,4929,2050,5954,5954,0.17215317433658045,0.17215317433658045,0.5,0.17215317433658045,-0.5598757138058447,False
same_cwe_different_cve,risk_only,Risk only,0.8155999999999999,1071,1071,4883,2142,5954,5954,0.17987907289217334,0.17987907289217334,0.5,0.17987907289217334,-0.573782331205912,False
same_cwe_different_cve,risk_only,Risk only,0.812416,1120,1120,4834,2240,5954,5954,0.188108834397044,0.188108834397044,0.5,0.188108834397044,-0.5885959019146793,False
same_cwe_different_cve,risk_only,Risk only,0.8085519999999999,1166,1166,4788,2332,5954,5954,0.19583473295263687,0.19583473295263687,0.5,0.19583473295263687,-0.6025025193147464,False
same_cwe_different_cve,risk_only,Risk only,0.805312,1226,1226,4728,2452,5954,5954,0.20591199193819282,0.20591199193819282,0.5,0.20591199193819282,-0.620641585488747,False
same_cwe_different_cve,risk_only,Risk only,0.801596,1283,1283,4671,2566,5954,5954,0.21548538797447095,0.21548538797447095,0.5,0.21548538797447095,-0.6378736983540477,False
same_cwe_different_cve,risk_only,Risk only,0.798136,1333,1333,4621,2666,5954,5954,0.22388310379576756,0.22388310379576756,0.5,0.22388310379576756,-0.6529895868323815,False
same_cwe_different_cve,risk_only,Risk only,0.794656,1376,1376,4578,2752,5954,5954,0.23110513940208263,0.23110513940208263,0.5,0.23110513940208263,-0.6659892509237487,False
same_cwe_different_cve,risk_only,Risk only,0.7912760000000001,1433,1433,4521,2866,5954,5954,0.24067853543836076,0.24067853543836076,0.5,0.24067853543836076,-0.6832213637890494,False
same_cwe_different_cve,risk_only,Risk only,0.7869839999999999,1487,1487,4467,2974,5954,5954,0.2497480685253611,0.2497480685253611,0.5,0.2497480685253611,-0.6995465233456499,False
same_cwe_different_cve,risk_only,Risk only,0.7827759999999999,1531,1531,4423,3062,5954,5954,0.2571380584481021,0.2571380584481021,0.5,0.2571380584481021,-0.7128485052065838,False
same_cwe_different_cve,risk_only,Risk only,0.7783720000000001,1581,1581,4373,3162,5954,5954,0.2655357742693987,0.2655357742693987,0.5,0.2655357742693987,-0.7279643936849178,False
same_cwe_different_cve,risk_only,Risk only,0.77536,1626,1626,4328,3252,5954,5954,0.2730937185085657,0.2730937185085657,0.5,0.2730937185085657,-0.7415686933154182,False
same_cwe_different_cve,risk_only,Risk only,0.7728839999999999,1673,1673,4281,3346,5954,5954,0.2809875713805845,0.2809875713805845,0.5,0.2809875713805845,-0.7557776284850521,False
same_cwe_different_cve,risk_only,Risk only,0.76956,1714,1714,4240,3428,5954,5954,0.2878736983540477,0.2878736983540477,0.5,0.2878736983540477,-0.7681726570372858,False
same_cwe_different_cve,risk_only,Risk only,0.764984,1765,1765,4189,3530,5954,5954,0.2964393684917702,0.2964393684917702,0.5,0.2964393684917702,-0.7835908632851863,False
same_cwe_different_cve,risk_only,Risk only,0.760564,1821,1821,4133,3642,5954,5954,0.30584481021162246,0.30584481021162246,0.5,0.30584481021162246,-0.8005206583809203,False
same_cwe_different_cve,risk_only,Risk only,0.7559119999999999,1860,1860,4094,3720,5954,5954,0.3123950285522338,0.3123950285522338,0.5,0.3123950285522338,-0.8123110513940208,False
same_cwe_different_cve,risk_only,Risk only,0.751412,1910,1910,4044,3820,5954,5954,0.3207927443735304,0.3207927443735304,0.5,0.3207927443735304,-0.8274269398723548,False
same_cwe_different_cve,risk_only,Risk only,0.7465280000000001,1948,1948,4006,3896,5954,5954,0.3271750083977158,0.3271750083977158,0.5,0.3271750083977158,-0.8389150151158883,False
same_cwe_different_cve,risk_only,Risk only,0.742944,1996,1996,3958,3992,5954,5954,0.3352368155861606,0.3352368155861606,0.5,0.3352368155861606,-0.8534262680550891,False
same_cwe_different_cve,risk_only,Risk only,0.7378720000000001,2040,2040,3914,4080,5954,5954,0.34262680550890157,0.34262680550890157,0.5,0.34262680550890157,-0.8667282499160229,False
same_cwe_different_cve,risk_only,Risk only,0.7344160000000001,2079,2079,3875,4158,5954,5954,0.34917702384951294,0.34917702384951294,0.5,0.34917702384951294,-0.8785186429291235,False
same_cwe_different_cve,risk_only,Risk only,0.729736,2130,2130,3824,4260,5954,5954,0.35774269398723546,0.35774269398723546,0.5,0.35774269398723546,-0.8939368491770238,False
same_cwe_different_cve,risk_only,Risk only,0.726728,2181,2181,3773,4362,5954,5954,0.366308364124958,0.366308364124958,0.5,0.366308364124958,-0.9093550554249243,False
same_cwe_different_cve,risk_only,Risk only,0.724308,2227,2227,3727,4454,5954,5954,0.3740342626805509,0.3740342626805509,0.5,0.3740342626805509,-0.9232616728249917,False
same_cwe_different_cve,risk_only,Risk only,0.721248,2271,2271,3683,4542,5954,5954,0.3814242526032919,0.3814242526032919,0.5,0.3814242526032919,-0.9365636546859255,False
same_cwe_different_cve,risk_only,Risk only,0.716676,2342,2342,3612,4684,5954,5954,0.3933490090695331,0.3933490090695331,0.5,0.3933490090695331,-0.9580282163251594,False
same_cwe_different_cve,risk_only,Risk only,0.71316,2403,2403,3551,4806,5954,5954,0.40359422237151493,0.40359422237151493,0.5,0.40359422237151493,-0.9764696002687268,False
same_cwe_different_cve,risk_only,Risk only,0.708788,2455,2455,3499,4910,5954,5954,0.4123278468256634,0.4123278468256634,0.5,0.4123278468256634,-0.9921901242861941,False
same_cwe_different_cve,risk_only,Risk only,0.7044400000000001,2509,2509,3445,5018,5954,5954,0.42139737991266374,0.42139737991266374,0.5,0.42139737991266374,-1.0085152838427947,False
same_cwe_different_cve,risk_only,Risk only,0.7005399999999999,2560,2560,3394,5120,5954,5954,0.4299630500503863,0.4299630500503863,0.5,0.4299630500503863,-1.0239334900906951,False
same_cwe_different_cve,risk_only,Risk only,0.696524,2602,2602,3352,5204,5954,5954,0.4370171313402754,0.4370171313402754,0.5,0.4370171313402754,-1.0366308364124956,False
same_cwe_different_cve,risk_only,Risk only,0.6940200000000001,2643,2643,3311,5286,5954,5954,0.44390325831373867,0.44390325831373867,0.5,0.44390325831373867,-1.0490258649647297,False
same_cwe_different_cve,risk_only,Risk only,0.6908880000000001,2701,2701,3253,5402,5954,5954,0.45364460866644274,0.45364460866644274,0.5,0.45364460866644274,-1.066560295599597,False
same_cwe_different_cve,risk_only,Risk only,0.6876520000000002,2738,2738,3216,5476,5954,5954,0.45985891837420223,0.45985891837420223,0.5,0.45985891837420223,-1.077746053073564,False
