pair_mode,label,ref_row_id,cand_row_id,ref_cve,cand_cve,ref_cwe,cand_cwe,language,coverage,risk_score,kg_consistency_score,exact_cve_provenance,exact_commit_provenance,cwe_match,kg_ref_available,vscore_ref_available,risk_only,coverage_only,kg_consistency,coverage_plus_kg,qgdca_no_kg,qgdca_full
true_pair,1,17460,17460,CVE-2017-16525,CVE-2017-16525,CWE-416,CWE-416,C,1.0,0.555724,0.5499999999999999,True,True,True,True,True,0.555724,1.0,0.5499999999999999,0.865,0.9111448000000001,0.8208585999999999
same_cwe_different_cve,0,17460,15790,CVE-2017-16525,CVE-2017-14201,CWE-416,CWE-416,C,0.125,0.555724,0.7,False,False,True,True,True,0.555724,0.125,0.7,0.2975,-inf,-inf
cross_cwe_different_cve,0,17460,7901,CVE-2017-16525,CVE-2016-9433,CWE-416,CWE-125,C,0.125,0.555724,0.2,False,False,False,True,True,0.555724,0.125,0.2,0.1475,-inf,-inf
true_pair,1,12451,12451,CVE-2019-18798,CVE-2019-18798,CWE-476,CWE-476,C++,0.98,0.629564,0.5499999999999999,True,True,True,True,True,0.629564,0.98,0.5499999999999999,0.851,0.9099128000000001,0.8199346
same_cwe_different_cve,0,12451,26808,CVE-2019-18798,CVE-2019-12067,CWE-476,CWE-476,C++,0.01,0.629564,0.5499999999999999,False,False,True,True,True,0.629564,0.01,0.5499999999999999,0.172,-inf,-inf
cross_cwe_different_cve,0,12451,5675,CVE-2019-18798,CVE-2021-41072,CWE-476,CWE-59,C++,0.12,0.629564,0.2,False,False,False,True,True,0.629564,0.12,0.2,0.144,-inf,-inf
true_pair,1,9799,9799,CVE-2018-7727,CVE-2018-7727,CWE-772,CWE-772,C,1.0,0.665584,0.5499999999999999,True,True,True,True,True,0.665584,1.0,0.5499999999999999,0.865,0.9331168000000001,0.8373375999999999
same_cwe_different_cve,0,9799,24417,CVE-2018-7727,CVE-2017-7396,CWE-772,CWE-772,C,0.015625,0.665584,0.5499999999999999,False,False,True,True,True,0.665584,0.015625,0.5499999999999999,0.17593749999999997,-inf,-inf
cross_cwe_different_cve,0,9799,15228,CVE-2018-7727,CVE-2014-125019,CWE-772,CWE-787,C,0.046875,0.665584,0.2,False,False,False,True,True,0.665584,0.046875,0.2,0.09281249999999999,-inf,-inf
true_pair,1,30308,30308,CVE-2021-22174,CVE-2021-22174,CWE-770,CWE-770,C,1.0,0.559076,0.5499999999999999,True,True,True,True,True,0.559076,1.0,0.5499999999999999,0.865,0.9118152,0.8213613999999999
same_cwe_different_cve,0,30308,28088,CVE-2021-22174,CVE-2017-12875,CWE-770,CWE-770,C,0.14285714285714285,0.559076,0.5499999999999999,False,False,True,True,True,0.559076,0.14285714285714285,0.5499999999999999,0.26499999999999996,-inf,-inf
cross_cwe_different_cve,0,30308,4853,CVE-2021-22174,CVE-2014-9666,CWE-770,CWE-189,C,0.02857142857142857,0.559076,0.2,False,False,False,True,True,0.559076,0.02857142857142857,0.2,0.07999999999999999,-inf,-inf
