scenario,replicate,policy,policy_label,true_positive,false_admission,false_negative,admitted,rejected,abstained,n_true,n_negative,recall,false_admission_rate,precision,abstain_rate,debt_adjusted_utility,spoofed_negative_count,spoofed_negative_admitted,spoofed_negative_admission_rate,dropped_positive_count,dropped_positive_admitted,dropped_positive_abstained,dropped_positive_abstain_rate
clean,0,coverage_only,Coverage only,5918,4,36,5922,5986,0,5954,5954,0.9939536446086664,0.0006718172657037286,0.9993245525160419,0.0,0.9904266039637218,0,0,0.0,0,0,0,0.0
clean,0,claimed_provenance_only,Claimed provenance only,5954,0,0,5954,5954,0,5954,5954,1.0,0.0,1.0,0.0,1.0,0,0,0.0,0,0,0,0.0
clean,0,claimed_or_coverage,Claimed provenance OR coverage,5954,4,0,5958,5950,0,5954,5954,1.0,0.0006718172657037286,0.9993286337697214,0.0,0.9979845482028888,0,0,0.0,0,0,0,0.0
clean,0,verified_provenance_only,Verified provenance only,5954,0,0,5954,5954,0,5954,5954,1.0,0.0,1.0,0.0,1.0,0,0,0.0,0,0,0,0.0
clean,0,qgdca_verified_abstain,QG-DCA verified + abstain,5954,0,0,5954,5950,4,5954,5954,1.0,0.0,1.0,0.0003359086328518643,0.9999664091367149,0,0,0.0,0,0,0,0.0
clean,1,coverage_only,Coverage only,5918,4,36,5922,5986,0,5954,5954,0.9939536446086664,0.0006718172657037286,0.9993245525160419,0.0,0.9904266039637218,0,0,0.0,0,0,0,0.0
clean,1,claimed_provenance_only,Claimed provenance only,5954,0,0,5954,5954,0,5954,5954,1.0,0.0,1.0,0.0,1.0,0,0,0.0,0,0,0,0.0
clean,1,claimed_or_coverage,Claimed provenance OR coverage,5954,4,0,5958,5950,0,5954,5954,1.0,0.0006718172657037286,0.9993286337697214,0.0,0.9979845482028888,0,0,0.0,0,0,0,0.0
clean,1,verified_provenance_only,Verified provenance only,5954,0,0,5954,5954,0,5954,5954,1.0,0.0,1.0,0.0,1.0,0,0,0.0,0,0,0,0.0
clean,1,qgdca_verified_abstain,QG-DCA verified + abstain,5954,0,0,5954,5950,4,5954,5954,1.0,0.0,1.0,0.0003359086328518643,0.9999664091367149,0,0,0.0,0,0,0,0.0
