scenario,policy,policy_label,true_positive,false_admission,false_negative,admitted,rejected,abstained,recall,false_admission_rate,precision,abstain_rate,debt_adjusted_utility,spoofed_negative_admission_rate,dropped_positive_abstain_rate,recall_std,false_admission_rate_std,abstain_rate_std,debt_adjusted_utility_std
clean,coverage_only,Coverage only,5918.0,4.0,36.0,5922.0,5986.0,0.0,0.9939536446086664,0.0006718172657037286,0.9993245525160419,0.0,0.9904266039637218,0.0,0.0,0.0,0.0,0.0,0.0
clean,claimed_provenance_only,Claimed provenance only,5954.0,0.0,0.0,5954.0,5954.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,claimed_or_coverage,Claimed provenance OR coverage,5954.0,4.0,0.0,5958.0,5950.0,0.0,1.0,0.0006718172657037286,0.9993286337697214,0.0,0.9979845482028888,0.0,0.0,0.0,0.0,0.0,0.0
clean,verified_provenance_only,Verified provenance only,5954.0,0.0,0.0,5954.0,5954.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,qgdca_verified_abstain,QG-DCA verified + abstain,5954.0,0.0,0.0,5954.0,5950.0,4.0,1.0,0.0,1.0,0.0003359086328518643,0.9999664091367149,0.0,0.0,0.0,0.0,0.0,0.0
dropout_25,coverage_only,Coverage only,5918.0,4.0,36.0,5922.0,5986.0,0.0,0.9939536446086664,0.0006718172657037286,0.9993245525160419,0.0,0.9904266039637218,0.0,0.0,0.0,0.0,0.0,0.0
dropout_25,claimed_provenance_only,Claimed provenance only,4468.87,0.0,1485.13,4468.87,7439.13,0.0,0.7505660060463554,0.0,1.0,0.0,0.6882075075579442,0.0,0.0,0.005400200403066322,0.0,0.0,0.006750250503832897
dropout_25,claimed_or_coverage,Claimed provenance OR coverage,5944.91,4.0,9.09,5948.91,5959.09,0.0,0.9984732952636882,0.0006718172657037286,0.9993276077628748,0.0,0.9960761672824993,0.0,0.0,0.0004759974759912605,0.0,0.0,0.0005949968449891092
dropout_25,verified_provenance_only,Verified provenance only,4468.87,0.0,1485.13,4468.87,7439.13,0.0,0.7505660060463554,0.0,1.0,0.0,0.6882075075579442,0.0,0.0,0.005400200403066322,0.0,0.0,0.006750250503832897
dropout_25,qgdca_verified_abstain,QG-DCA verified + abstain,4468.87,0.0,1485.13,4468.87,5959.09,1480.04,0.7505660060463554,0.0,1.0,0.1242895532415183,0.6757785522337925,0.0,0.9938855810329307,0.005400200403066322,0.0,0.002657416372132986,0.007015015349286369
dropout_50,coverage_only,Coverage only,5918.0,4.0,36.0,5922.0,5986.0,0.0,0.9939536446086664,0.0006718172657037286,0.9993245525160419,0.0,0.9904266039637218,0.0,0.0,0.0,0.0,0.0,0.0
dropout_50,claimed_provenance_only,Claimed provenance only,2973.305,0.0,2980.695,2973.305,8934.695,0.0,0.49937940880080617,0.0,1.0,0.0,0.3742242610010077,0.0,0.0,0.005917880581953118,0.0,0.0,0.007397350727441398
dropout_50,claimed_or_coverage,Claimed provenance OR coverage,5936.12,4.0,17.88,5940.12,5967.88,0.0,0.9969969768223044,0.0006718172657037286,0.9993266127583272,0.0,0.9942307692307693,0.0,0.0,0.0005055649376324324,0.0,0.0,0.0006319561720405228
dropout_50,verified_provenance_only,Verified provenance only,2973.305,0.0,2980.695,2973.305,8934.695,0.0,0.49937940880080617,0.0,1.0,0.0,0.3742242610010077,0.0,0.0,0.005917880581953118,0.0,0.0,0.007397350727441398
dropout_50,qgdca_verified_abstain,QG-DCA verified + abstain,2973.305,0.0,2980.695,2973.305,5967.88,2966.815,0.49937940880080617,0.0,1.0,0.24914469264360092,0.3493097917366476,0.0,0.9940018057858392,0.005917880581953118,0.0,0.0029434846210223764,0.007690664561513811
spoof_01,coverage_only,Coverage only,5918.0,4.0,36.0,5922.0,5986.0,0.0,0.9939536446086664,0.0006718172657037286,0.9993245525160419,0.0,0.9904266039637218,0.0006799297295857687,0.0,0.0,0.0,0.0,0.0
spoof_01,claimed_provenance_only,Claimed provenance only,5954.0,59.34,0.0,6013.34,5894.66,0.0,1.0,0.009966409136714814,0.9901335303093177,0.0,0.9701007725898556,1.0,0.0,0.0,0.0012833548749337186,0.0,0.003850064624801163
spoof_01,claimed_or_coverage,Claimed provenance OR coverage,5954.0,63.3,0.0,6017.3,5890.7,0.0,1.0,0.010631508229761505,0.9894819187820276,0.0,0.9681054753107154,1.0,0.0,0.0,0.0012833062741359354,0.0,0.003849918822407814
spoof_01,verified_provenance_only,Verified provenance only,5954.0,0.0,0.0,5954.0,5954.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
spoof_01,qgdca_verified_abstain,QG-DCA verified + abstain,5954.0,0.0,0.0,5954.0,5950.04,3.96,1.0,0.0,1.0,0.00033254954652334564,0.9999667450453477,0.0,0.0,0.0,0.0,1.649739017272539e-05,1.6497390172597164e-06
spoof_05,coverage_only,Coverage only,5918.0,4.0,36.0,5922.0,5986.0,0.0,0.9939536446086664,0.0006718172657037286,0.9993245525160419,0.0,0.9904266039637218,0.0005769989781829184,0.0,0.0,0.0,0.0,0.0
spoof_05,claimed_provenance_only,Claimed provenance only,5954.0,298.25,0.0,6252.25,5655.75,0.0,1.0,0.050092374874034264,0.9523045036093307,0.0,0.8497228753778973,1.0,0.0,0.0,0.002920422022958611,0.0,0.008761266068875824
spoof_05,claimed_or_coverage,Claimed provenance OR coverage,5954.0,302.075,0.0,6256.075,5651.925,0.0,1.0,0.050734800134363454,0.951722204326119,0.0,0.8477955995969095,1.0,0.0,0.0,0.0029112429793510166,0.0,0.008733728938053058
spoof_05,verified_provenance_only,Verified provenance only,5954.0,0.0,0.0,5954.0,5954.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
spoof_05,qgdca_verified_abstain,QG-DCA verified + abstain,5954.0,0.0,0.0,5954.0,5950.175,3.825,1.0,0.0,1.0,0.00032121263016459523,0.9999678787369836,0.0,0.0,0.0,0.0,3.7116741036693266e-05,3.7116741036484695e-06
spoof_10,coverage_only,Coverage only,5918.0,4.0,36.0,5922.0,5986.0,0.0,0.9939536446086664,0.0006718172657037286,0.9993245525160419,0.0,0.9904266039637218,0.0006655706098622736,0.0,0.0,0.0,0.0,0.0
spoof_10,claimed_provenance_only,Claimed provenance only,5954.0,593.41,0.0,6547.41,5360.59,0.0,1.0,0.09966577091031241,0.9093790295837443,0.0,0.7010026872690628,1.0,0.0,0.0,0.00397324716920448,0.0,0.011919741507613454
spoof_10,claimed_or_coverage,Claimed provenance OR coverage,5954.0,597.015,0.0,6551.015,5356.985,0.0,1.0,0.10027124622102787,0.9088785797834609,0.0,0.6991862613369163,1.0,0.0,0.0,0.003971794419300752,0.0,0.011915383257902264
spoof_10,verified_provenance_only,Verified provenance only,5954.0,0.0,0.0,5954.0,5954.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
spoof_10,qgdca_verified_abstain,QG-DCA verified + abstain,5954.0,0.0,0.0,5954.0,5950.395,3.605,1.0,0.0,1.0,0.0003027376553577427,0.9999697262344642,0.0,0.0,0.0,0.0,4.7547529516524104e-05,4.754752951631315e-06
combined_25_05,coverage_only,Coverage only,5918.0,4.0,36.0,5922.0,5986.0,0.0,0.9939536446086664,0.0006718172657037286,0.9993245525160419,0.0,0.9904266039637218,0.0005702919407079967,0.0,0.0,0.0,0.0,0.0
combined_25_05,claimed_provenance_only,Claimed provenance only,4467.815,296.04,1486.185,4763.855,7144.145,0.0,0.7503888142425261,0.04972119583473296,0.9378639895087351,0.0,0.5388224302989587,1.0,0.0,0.005611363350362545,0.0025740488842051277,0.0,0.010342816651066587
combined_25_05,claimed_or_coverage,Claimed provenance OR coverage,5945.115,299.87,8.885,6244.985,5663.015,0.0,0.9985077258985555,0.05036446086664428,0.9519879884607012,0.0,0.8470412747732616,1.0,0.0,0.00044138146810880277,0.0025697206240523824,0.0,0.0077064262929711445
combined_25_05,verified_provenance_only,Verified provenance only,4467.815,0.0,1486.185,4467.815,7440.185,0.0,0.7503888142425261,0.0,1.0,0.0,0.6879860178031575,0.0,0.0,0.005611363350362545,0.0,0.0,0.0070142041879531665
combined_25_05,qgdca_verified_abstain,QG-DCA verified + abstain,4467.815,0.0,1486.185,4467.815,5959.055,1481.13,0.7503888142425261,0.0,1.0,0.12438108834397044,0.6755479089687604,0.0,0.9940182952287251,0.005611363350362545,0.0,0.002815028466165818,0.0072948496996467415
combined_50_10,coverage_only,Coverage only,5918.0,4.0,36.0,5922.0,5986.0,0.0,0.9939536446086664,0.0006718172657037286,0.9993245525160419,0.0,0.9904266039637218,0.0006944017720988509,0.0,0.0,0.0,0.0,0.0
combined_50_10,claimed_provenance_only,Claimed provenance only,2978.695,597.685,2975.305,3576.38,8331.62,0.0,0.500284682566342,0.10038377561303326,0.8329001871058321,0.0,0.07420452636882768,1.0,0.0,0.006155538564125828,0.003905649603612941,0.0,0.013616891157003357
combined_50_10,claimed_or_coverage,Claimed provenance OR coverage,5936.34,601.27,17.66,6537.61,5370.39,0.0,0.997033926771918,0.10098589183742022,0.9080404311902234,0.0,0.6933347329526369,1.0,0.0,0.00048345845143944554,0.003904529134878493,0.0,0.011756026586436963
combined_50_10,verified_provenance_only,Verified provenance only,2978.695,0.0,2975.305,2978.695,8929.305,0.0,0.500284682566342,0.0,1.0,0.0,0.3753558532079274,0.0,0.0,0.006155538564125828,0.0,0.0,0.007694423205157295
combined_50_10,qgdca_verified_abstain,QG-DCA verified + abstain,2978.695,0.0,2975.305,2978.695,5968.075,2961.23,0.500284682566342,0.0,1.0,0.24867568021498151,0.35048828518642927,0.0,0.9940634868479533,0.006155538564125828,0.0,0.003093234421841759,0.008002803980327024
